537,537,537,537,124,124,124,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,537,124,124,124,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,537,537,124,124,124,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,537,537,124,124,124,124,124,537,537,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,537,124,124,537,537,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,537,124,124,124,124,124,124,537,537,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,537,537,124,124,124,124,124,124,124,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,537,537,537,537,124,124,124,124,124,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,537,112,112,537,537,537,124,124,124,537,537,537,537,537,537,537,537
537,537,537,537,537,537,537,112,112,112,537,537,537,537,124,124,537,537,537,537,537,537,537,537
537,537,537,537,537,537,112,112,112,112,537,537,537,537,124,124,124,124,537,537,537,537,537,537
537,537,537,537,537,112,112,112,112,537,537,537,537,537,124,124,124,124,537,537,537,537,537,537
537,537,537,537,537,112,112,112,112,537,537,537,537,537,537,124,124,124,124,537,537,537,537,537
537,537,537,537,112,112,112,112,537,537,537,537,537,537,537,537,124,124,124,537,537,537,537,537
537,537,537,537,112,112,112,537,537,369,369,369,537,537,537,537,537,124,124,537,537,537,537,537
537,537,537,537,112,112,112,537,537,537,369,369,537,537,537,537,537,537,537,537,537,537,537,537
537,537,537,112,112,112,537,537,537,537,369,369,369,537,537,537,537,537,537,537,537,537,537,537
537,537,112,112,112,112,537,537,537,537,369,369,369,369,369,369,537,537,537,537,537,537,537,537
112,112,112,112,112,537,537,537,537,537,369,369,369,369,369,369,537,537,537,537,537,537,537,537
112,112,112,112,537,537,537,537,537,537,369,369,369,369,369,369,369,537,537,537,537,537,537,537
112,112,112,112,537,537,537,537,537,537,537,369,369,369,369,369,369,537,537,537,537,537,537,537
112,112,112,112,537,537,537,537,537,537,537,369,369,369,369,369,369,369,537,537,537,537,537,537
112,112,112,537,537,537,537,537,537,537,537,537,537,537,369,369,369,369,369,537,537,537,537,537
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,369,369,369,369,537,537,537
